Paystep,BA,Pre1970,BA+30,BA+60,BA+66,BA+96,MA,MA+
7B+L5:2021,73776,79307,75826,79615,81358,85143,83409,88937
8A:2021,76390,81921,78440,82229,83972,87757,86023,91551
8A+L5:2021,77676,83207,79726,83515,85258,89043,87309,92837
8B:2021,81022,86553,83072,86861,88604,92389,90655,96183
8B+L5:2021,82308,87839,84358,88147,89890,93675,91941,97469
8B+L10:2021,86280,91811,88330,92119,93862,97647,95913,101441
8B+L13:2021,88984,94515,91034,94823,96566,100351,98617,104145
8B+L15:2021,94691,100222,96741,100530,102273,106058,104324,109852
8B+L18:2021,96189,101720,98239,102028,103771,107556,105822,111350
8B+L20:2021,107263,112794,109313,113102,114845,118630,116896,122424
8B+L22:2021,113496,119027,115546,119335,121078,124863,123129,128657
1A:2022,62902,68599,65014,68916,70711,74610,72824,78518
1B:2022,62902,68599,65014,68916,70711,74610,72824,78518
2A:2022,64153,69850,66265,70167,71962,75861,74075,79769
2B:2022,64153,69850,66265,70167,71962,75861,74075,79769
3A:2022,64683,70380,66795,70697,72492,76391,74605,80299
3B:2022,64683,70380,66795,70697,72492,76391,74605,80299
4A:2022,65619,71316,67731,71633,73428,77327,75541,81235
4B:2022,65619,71316,67731,71633,73428,77327,75541,81235
5A:2022,66429,72126,68541,72443,74238,78137,76351,82045
5B:2022,66429,72126,68541,72443,74238,78137,76351,82045
6A:2022,67300,72997,69412,73314,75109,79008,77222,82916
6A+L5:2022,68625,74322,70737,74639,76434,80333,78547,84241
6B:2022,68536,74233,70648,74550,76345,80244,78458,84152
6B+L5:2022,69861,75558,71973,75875,77670,81569,79783,85477
7A:2022,70370,76067,72482,76384,78179,82078,80292,85986
7A+L5:2022,71695,77392,73807,77709,79504,83403,81617,87311
7B:2022,74665,80362,76777,80679,82474,86373,84587,90281
7B+L5:2022,75990,81687,78102,82004,83799,87698,85912,91606
8A:2022,78682,84379,80794,84696,86491,90390,88604,94298
8A+L5:2022,80007,85704,82119,86021,87816,91715,89929,95623
8B:2022,83453,89150,85565,89467,91262,95161,93375,99069
8B+L5:2022,84778,90475,86890,90792,92587,96486,94700,100394
8B+L10:2022,88869,94566,90981,94883,96678,100577,98791,104485
8B+L13:2022,91654,97351,93766,97668,99463,103362,101576,107270
8B+L15:2022,97532,103229,99644,103546,105341,109240,107454,113148
8B+L18:2022,99075,104772,101187,105089,106884,110783,108997,114691
8B+L20:2022,110481,116178,112593,116495,118290,122189,120403,126097
8B+L22:2022,116901,122598,119013,122915,124710,128609,126823,132517
1A:2024,64789,70657,66964,70983,72832,76848,75009,80873
1B:2024,64789,70657,66964,70983,72832,76848,75009,80873
2A:2024,66078,71946,68253,72272,74121,78137,76298,82162
2B:2024,66078,71946,68253,72272,74121,78137,76298,82162
3A:2024,66623,72491,68798,72817,74666,78682,76843,82707
3B:2024,66623,72491,68798,72817,74666,78682,76843,82707
4A:2024,67588,73456,69763,73782,75631,79647,77808,83672
4B:2024,67588,73456,69763,73782,75631,79647,77808,83672
5A:2024,68422,74290,70597,74616,76465,80481,78642,84506
5B:2024,68422,74290,70597,74616,76465,80481,78642,84506
6A:2024,69319,75187,71494,75513,77362,81378,79539,85403
6A+L5:2024,70684,76552,72859,76878,78727,82743,80904,86768
6B:2024,70592,76460,72767,76786,78635,82651,80812,86676
6B+L5:2024,71957,77825,74132,78151,80000,84016,82177,88041
7A:2024,72481,78349,74656,78675,80524,84540,82701,88565
7A+L5:2024,73846,79714,76021,80040,81889,85905,84066,89930
7B:2024,76905,82773,79080,83099,84948,88964,87125,92989
7B+L5:2024,78270,84138,80445,84464,86313,90329,88490,94354
8A:2024,81042,86910,83217,87236,89085,93101,91262,97126
8A+L5:2024,82407,88275,84582,88601,90450,94466,92627,98491
8B:2024,85957,91825,88132,92151,94000,98016,96177,102041
8B+L5:2024,87322,93190,89497,93516,95365,99381,97542,103406
8B+L10:2024,91535,97403,93710,97729,99578,103594,101755,107619
8B+L13:2024,94404,100272,96579,100598,102447,106463,104624,110488
8B+L15:2024,100458,106326,102633,106652,108501,112517,110678,116542
8B+L18:2024,102048,107916,104223,108242,110091,114107,112268,118132
8B+L20:2024,113796,119664,115971,119990,121839,125855,124016,129880
8B+L22:2024,120408,126276,122583,126602,128451,132467,130628,136492
