Paystep,BAC1,C1+PD,BA+30+C2,C2+ID,MA+C2+PD,C2+ID+PD,MA+30+C6,MA+30,C6+PD
1A,57845,63084,59786,63376,65026,68612,66969,72205
1B,57845,63084,59786,63376,65026,68612,66969,72205
2A,58995,64234,60936,64526,66176,69762,68119,73355
2B,58995,64234,60936,64526,66176,69762,68119,73355
3A,59483,64722,61424,65014,66664,70250,68607,73843
3B,59483,64722,61424,65014,66664,70250,68607,73843
4A,60343,65582,62284,65874,67524,71110,69467,74703
4B,60343,65582,62284,65874,67524,71110,69467,74703
5A,61089,66328,63030,66620,68270,71856,70213,75449
5B,61089,66328,63030,66620,68270,71856,70213,75449
6A,61890,67129,63831,67421,69071,72657,71014,76250
6A+L5,63109,68348,65050,68640,70290,73876,72233,77469
6B,63026,68265,64967,68557,70207,73793,72150,77386
6B+L5,64245,69484,66186,69776,71426,75012,73369,78605
7A,64712,69951,66653,70243,71893,75479,73836,79072
7A+L5,65931,71170,67872,71462,73112,76698,75055,80291
7B,68662,73901,70603,74193,75843,79429,77786,83022
7B+L5,69881,75120,71822,75412,77062,80648,79005,84241
8A,72356,77595,74297,77887,79537,83123,81480,86716
8A+L5,73575,78814,75516,79106,80756,84342,82699,87935
8B,76743,81982,78684,82274,83924,87510,85867,91103
8B+L5,77962,83201,79903,83493,85143,88729,87086,92322
8B+L10,81723,86962,83664,87254,88904,92490,90847,96083
8B+L13,84284,89523,86225,89815,91465,95051,93408,98644
8B+L15,89690,94929,91631,95221,96871,100457,98814,104050
8B+L18,91109,96348,93050,96640,98290,101876,100233,105469
8B+L20,101599,106838,103540,107130,108780,112366,110723,115959
8B+L22,107502,112741,109443,113033,114683,118269,116626,12186
